img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_5741036AmericaFrontccc.jpg,God of War,Series,Action,Sony Interactive Entertainment,SIE Santa Monica Studio,,,,76.55,,,,,,2005-03-22,2020-03-04
/games/boxart/full_3351915AmericaFrontccc.jpg,Warriors,Series,Action,KOEI,Omega Force,,,,50.45,,,,,,1997-06-30,2020-03-24
/games/boxart/full_6662824AmericaFrontccc.png,Devil May Cry,Series,Action,Capcom,Capcom,,,,32.0,,,,,,2001-10-16,2020-02-03
/games/boxart/full_8122622AmericaFrontccc.jpg,God of War (2018),All,Action,Sony Interactive Entertainment,SIE Santa Monica Studio,,,,23.52,,,,,,2018-04-20,2022-11-23
/games/boxart/full_6138740AmericaFrontccc.jpg,Dynasty Warriors,Series,Action,KOEI,Omega Force,,,,21.28,,,,,,1997-06-30,2020-03-24
/games/boxart/full_3094030AmericaFrontccc.jpg,God of War (2018),PS4,Action,Sony Interactive Entertainment,SIE Santa Monica Studio,9.0,9.7,10.0,21.02,,,,,,2018-04-20,2022-05-26
/games/boxart/full_6510540AmericaFrontccc.jpg,Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,9.5,9.4,,,20.32,6.37,0.99,9.85,3.12,2013-09-17,
/games/boxart/full_6800951AmericaFrontccc.jpg,Frogger,Series,Action,Konami,Konami,,,,20.0,,,,,,1981-10-23,2020-02-26
/games/boxart/full_5563178AmericaFrontccc.jpg,Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,,9.7,,,19.39,6.06,0.6,9.71,3.02,2014-11-18,2018-01-03
/games/boxart/full_2804791AmericaFrontccc.jpg,Uncharted 4: A Thief's End,PS4,Action,Sony Interactive Entertainment,Naughty Dog,,9.2,,18.65,,,,,,2016-05-10,2018-09-23
/games/boxart/3887656ccc.jpg,Grand Theft Auto: San Andreas,PS2,Action,Rockstar Games,Rockstar North,,9.5,,17.3,,,,,,2004-10-26,
/games/boxart/827563ccc.jpg,Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,,9.6,,,16.15,8.41,0.47,5.49,1.78,2002-10-28,
/games/boxart/full_9218923AmericaFrontccc.jpg,Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,,,,,15.86,9.06,0.06,5.33,1.42,2013-09-17,
/games/boxart/full_7818120AmericaFrontccc.jpg,God of War: Ragnarök,All,Action,Sony Interactive Entertainment,Sony Computer Entertainment,,,,15.0,,,,,,2022-11-09,2022-11-23
/games/boxart/full_7549567AmericaFrontccc.jpg,Maneater,All,Action,Tripwire Interactive,Tripwire Interactive,,,,14.0,,,,,,2021-05-25,2024-05-07
/games/boxart/3570928ccc.jpg,Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,,9.5,,,13.1,6.99,0.3,4.51,1.3,2001-10-23,
